Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
0a00b958e5cb78d50f91a0de73aab852	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
0a09f943dee715b5ac9157085a9e4902	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales			
0a2534788f7cc5b36cd30cc144eca833	Bacteria						
0a4311f8364e0271af9b9ef24b0ac1db	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0a4b8fc451b1413ad2776c497203421d	Bacteria						
0a57c0b2f760baf093fb44265a5f45d9	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
0a660ec0c8cf11235a1326fde8c8b1ba	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae		
0a6a8ef7ed2a356f4205135607d19d19	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	
0a6d0fc63b8eccfb1232510e06dcddc2	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea	
0a6d72ccd5fd75d839b4e7c0b003a2cb	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pseudescherichia	Pseudescherichia vulneris
0a79be693c0b09dbff05403be192e6a6	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Halocyntiibacter	Halocyntiibacter_A alkanivorans
0a85bbf468c89662ca830a9ed36239ad	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Propionigenium	Propionigenium_maris
0aa0f6532cef31200dea2be0efb4182a	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira	
0aa61dc6b9e904b40584174f26342dd1	Bacteria	Actinomycetota	Actinomycetes	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	
0ac087a15af872b46067226465f147aa	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
0adc560ff5dab83f3ed3708353a0ae56	Bacteria						
0ae56da1167d2b5407e333a06bfe2fad	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae		
0b266a067d93ccc835b08a7a999b7a7b	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	
0b27d79b20d683338f802b0c5c787c4c	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
0b30297b700689a96aca453d5124cf2d	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Evtepia	
0b37ea91d04a3a533b9de615591933ee	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_ginsenosidivorax
0b5b452cf0d7fae34be453f0a85427b4	Bacteria	Actinomycetota	Actinomycetes	Corynebacteriales	Tsukamurellaceae	Tsukamurella	Tsukamurella_soli
0b65e0a799f9ffce6057671a4d481b57	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	
0b6b7f14cf466d266323ef86b12d96c8	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Lichenicola	Lichenicola_cladoniae
0b7fb67cf14ed38a4305539bb987c224	Bacteria	Desulfobacterota	Deltaproteobacteria	Desulfobacterales			
0b958d945f7c6cc6247975ddb8dde4f6	Bacteria	Actinomycetota	Thermoleophilia				
0ba16862e7c45c3aaec350ccbbd09c59	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
0bad27a745faed03ec6a3e1941882085	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	
0bcf1f3a40b5d001ff1c4039a48a2fb8	Bacteria						
0bd48f34e1f586a2b519fb3460849f28	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	
0bdb16849dfcb4568c2b15b55887bd87	Bacteria	Verrucomicrobiota	Opitutae	Opitutales	Opitutaceae	Cephaloticoccus	Cephaloticoccus_primus
0bf4a05b8a55755ae45a4ce012549494	Bacteria						
0c09098afaa6ffab96366698cfa4e64d	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	
0c1150d7f172412f16a27af95a8e589a	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
0c238326508c58583d582a7501d613fe	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Hafnia	
0c2e572d41e43df1281174288b84b033	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast_Chloroplast
0c75312e867117a410972664a3478349	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales			
0cad7b0a8c590eb924ee797c5d2e5963	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Rosenbergiella	
0cbc8f7580a301819cc68f0b4066ecc7	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	
0cc52f91141f2e0b0caeadddf80b4594	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rahnella	
0cca0ddd28145f713980786b060332fc	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales			
0ccfc8d3ff30665a65a96173ab6e7609	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Microbacterium	
0cd155ae572f06167dbff51ce69c7310	Bacteria	Chlamydiota	Chlamydiia	Parachlamydiales			
0ce6f4d6e76f9cadb651f36de803c959	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	
0cedf4b21c156f0a3cdf45d3a27a76c7	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae		
0cefd94b8e5ac51a1a9d898eb3b21e3c	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Phaseolibacter	
0cf4b235fbc75511f9c741974bbaa3cf	Bacteria						
0cf617036410a519c538de5f0dfa6c3e	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae		
0cf6493874256a8b548a21f057b86620	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	Luteolibacter_luojiensis
0d1adb4ad620a99fc3470340af1017bd	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	
0d2efc3ce700f2f3e3df457ed4c47a4d	Bacteria						
0d32a81b681f084abe83e4f585f4c82b	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	
0d4917bdeccc1e6a9207a90efc738a73	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast_Chloroplast
0d4cecd58288d7ef190e75e2d28aa75d	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			
0d51bbb9d0e03a119665254c780374a8	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium_damselae
0d5e1331fcf8a5acee8c574bab101e72	Bacteria	Desulfobacterota	Deltaproteobacteria	Desulfuromonadales			
0d9605cd2d078c6376173257e868777d	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae		
0da23dddbac4eb9d6dba83cffd3c10b6	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Luteolibacter	
0db0e28a88a5f8d4846337028f140de1	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Asaia	
0dbaffd7673171d168fb3cca7175836f	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methylobacteriaceae	Methylobacterium	
0dd7104f79fbac2adbec6db14610aac6	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingosinicellaceae	Polymorphobacter	Polymorphobacter_arshaanensis
0df9bec74d7f6324542d1f3a8e3b599f	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acidisoma	
